modality,p_value_sum,rt_ms
device,0.862737091382225,0.297271082828043
gender,0.931004664622986,0.0702881807118576
frenchYears,0.266254780019555,0.175186035713905
frenchListeningRate,0.436666638064457,0.382224890129441
frenchLevel,0.221528138084504,0.387396481610308
reactionTime,0.291188810336774,0.905098530034692
speakerSex,0.0640186882497571,0.0271343001392123
nasality,0.0995818941568958,0.0270940557402764
