participant_id,participant_ts,age,gender,handedness,native_language,other_languages,french_level,french_years,french_listening_rating,hearing_difficulties,device,saved_at,trial,speaker,file_A,file_B,word_A,word_B,response,rt_ms,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,21,homme,enregistrements_homme/clean\18_bat_20260421_195545.wav,enregistrements_homme/clean\19_bet_20260421_195546.wav,bat,bet,different,1214,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,22,femme,enregistrements_femme/clean_denoised\18_bat_20260422_181828.wav,enregistrements_femme/clean_denoised\18_bat_20260422_181828.wav,bat,bat,same,610,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,23,femme,enregistrements_femme/clean_denoised\11_dont_20260422_181816.wav,enregistrements_femme/clean_denoised\11_dont_20260422_181816.wav,dont,dont,same,567,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,24,femme,enregistrements_femme/clean_denoised\3_pant_20260422_181741.wav,enregistrements_femme/clean_denoised\3_pant_20260422_181741.wav,pant,pant,same,536,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,25,femme,enregistrements_femme/clean_denoised\24_tat_20260422_181837.wav,enregistrements_femme/clean_denoised\25_tet_20260422_181839.wav,tat,tet,different,502,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,26,femme,enregistrements_femme/clean_denoised\32_kot_20260422_181850.wav,enregistrements_femme/clean_denoised\32_kot_20260422_181850.wav,kot,kot,same,997,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,27,femme,enregistrements_femme/clean_denoised\7_tunt_20260422_181809.wav,enregistrements_femme/clean_denoised\8_tont_20260422_181810.wav,tunt,tont,different,2084,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,28,homme,enregistrements_homme/clean\30_kat_20260421_195603.wav,enregistrements_homme/clean\32_kot_20260421_195606.wav,kat,kot,different,2127,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,29,homme,enregistrements_homme/clean\27_dat_20260421_195558.wav,enregistrements_homme/clean\29_dot_20260421_195601.wav,dat,dot,different,902,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,30,homme,enregistrements_homme/clean\19_bet_20260421_195546.wav,enregistrements_homme/clean\19_bet_20260421_195546.wav,bet,bet,same,842,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,31,femme,enregistrements_femme/clean_denoised\19_bet_20260422_181829.wav,enregistrements_femme/clean_denoised\19_bet_20260422_181829.wav,bet,bet,same,440,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,32,homme,enregistrements_homme/clean\18_bat_20260421_195545.wav,enregistrements_homme/clean\20_bot_20260421_195548.wav,bat,bot,different,874,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,33,femme,enregistrements_femme/clean_denoised\23_pot_20260422_181836.wav,enregistrements_femme/clean_denoised\23_pot_20260422_181836.wav,pot,pot,same,611,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,34,femme,enregistrements_femme/clean_denoised\6_tant_20260422_181747.wav,enregistrements_femme/clean_denoised\7_tunt_20260422_181809.wav,tant,tunt,different,623,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,35,femme,enregistrements_femme/clean_denoised\16_gunt_20260422_181824.wav,enregistrements_femme/clean_denoised\17_gont_20260422_181826.wav,gunt,gont,different,1742,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,36,femme,enregistrements_femme/clean_denoised\30_kat_20260422_181847.wav,enregistrements_femme/clean_denoised\30_kat_20260422_181847.wav,kat,kat,same,939,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,37,homme,enregistrements_homme/clean\10_dunt_20260421_195531.wav,enregistrements_homme/clean\9_dant_20260421_195529.wav,dunt,dant,different,626,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,38,homme,enregistrements_homme/clean\22_pet_20260421_195551.wav,enregistrements_homme/clean\23_pot_20260421_195552.wav,pet,pot,different,868,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,39,homme,enregistrements_homme/clean\9_dant_20260421_195529.wav,enregistrements_homme/clean\9_dant_20260421_195529.wav,dant,dant,same,694,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,40,homme,enregistrements_homme/clean\26_tot_20260421_195557.wav,enregistrements_homme/clean\26_tot_20260421_195557.wav,tot,tot,same,637,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,41,homme,enregistrements_homme/clean\6_tant_20260421_195524.wav,enregistrements_homme/clean\6_tant_20260421_195524.wav,tant,tant,same,542,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,42,homme,enregistrements_homme/clean\15_gant_20260421_195539.wav,enregistrements_homme/clean\17_gont_20260421_195543.wav,gant,gont,different,753,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,43,homme,enregistrements_homme/clean\16_gunt_20260421_195541.wav,enregistrements_homme/clean\16_gunt_20260421_195541.wav,gunt,gunt,same,701,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,44,femme,enregistrements_femme/clean_denoised\4_punt_20260422_181742.wav,enregistrements_femme/clean_denoised\5_pont_20260422_181744.wav,punt,pont,different,491,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,45,femme,enregistrements_femme/clean_denoised\1_bunt_20260422_181737.wav,enregistrements_femme/clean_denoised\2_bont_20260422_181739.wav,bunt,bont,different,533,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,46,homme,enregistrements_homme/clean\12_kant_20260421_195534.wav,enregistrements_homme/clean\14_kont_20260421_195538.wav,kant,kont,different,616,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,47,femme,enregistrements_femme/clean_denoised\15_gant_20260422_181822.wav,enregistrements_femme/clean_denoised\17_gont_20260422_181826.wav,gant,gont,same,802,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,48,femme,enregistrements_femme/clean_denoised\35_got_20260422_181854.wav,enregistrements_femme/clean_denoised\35_got_20260422_181854.wav,got,got,same,450,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,49,homme,enregistrements_homme/clean\16_gunt_20260421_195541.wav,enregistrements_homme/clean\17_gont_20260421_195543.wav,gunt,gont,different,698,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,50,femme,enregistrements_femme/clean_denoised\12_kant_20260422_181817.wav,enregistrements_femme/clean_denoised\12_kant_20260422_181817.wav,kant,kant,same,573,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,51,homme,enregistrements_homme/clean\5_pont_20260421_195523.wav,enregistrements_homme/clean\5_pont_20260421_195523.wav,pont,pont,same,572,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,52,homme,enregistrements_homme/clean\8_tont_20260421_195527.wav,enregistrements_homme/clean\8_tont_20260421_195527.wav,tont,tont,same,555,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,53,femme,enregistrements_femme/clean_denoised\20_bot_20260422_181831.wav,enregistrements_femme/clean_denoised\20_bot_20260422_181831.wav,bot,bot,same,547,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,54,homme,enregistrements_homme/clean\3_pant_20260421_195520.wav,enregistrements_homme/clean\5_pont_20260421_195523.wav,pant,pont,same,785,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,55,femme,enregistrements_femme/clean_denoised\24_tat_20260422_181837.wav,enregistrements_femme/clean_denoised\26_tot_20260422_181840.wav,tat,tot,different,551,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,56,homme,enregistrements_homme/clean\13_kunt_20260421_195536.wav,enregistrements_homme/clean\14_kont_20260421_195538.wav,kunt,kont,different,564,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,57,femme,enregistrements_femme/clean_denoised\11_dont_20260422_181816.wav,enregistrements_femme/clean_denoised\9_dant_20260422_181812.wav,dont,dant,different,830,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,58,femme,enregistrements_femme/clean_denoised\34_get_20260422_181853.wav,enregistrements_femme/clean_denoised\35_got_20260422_181854.wav,get,got,different,538,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,59,femme,enregistrements_femme/clean_denoised\21_pat_20260422_181832.wav,enregistrements_femme/clean_denoised\23_pot_20260422_181836.wav,pat,pot,different,504,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,60,homme,enregistrements_homme/clean\2_bont_20260421_195518.wav,enregistrements_homme/clean\2_bont_20260421_195518.wav,bont,bont,same,523,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,61,homme,enregistrements_homme/clean\1_bunt_20260421_195516.wav,enregistrements_homme/clean\1_bunt_20260421_195516.wav,bunt,bunt,same,636,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,62,femme,enregistrements_femme/clean_denoised\3_pant_20260422_181741.wav,enregistrements_femme/clean_denoised\4_punt_20260422_181742.wav,pant,punt,different,1430,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,63,homme,enregistrements_homme/clean\6_tant_20260421_195524.wav,enregistrements_homme/clean\7_tunt_20260421_195526.wav,tant,tunt,different,742,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,64,homme,enregistrements_homme/clean\33_gat_20260421_195607.wav,enregistrements_homme/clean\35_got_20260421_195610.wav,gat,got,different,557,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,65,femme,enregistrements_femme/clean_denoised\19_bet_20260422_181829.wav,enregistrements_femme/clean_denoised\20_bot_20260422_181831.wav,bet,bot,different,941,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,66,femme,enregistrements_femme/clean_denoised\15_gant_20260422_181822.wav,enregistrements_femme/clean_denoised\16_gunt_20260422_181824.wav,gant,gunt,different,1366,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,67,homme,enregistrements_homme/clean\29_dot_20260421_195601.wav,enregistrements_homme/clean\29_dot_20260421_195601.wav,dot,dot,same,765,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,68,homme,enregistrements_homme/clean\0_bant_20260421_195515.wav,enregistrements_homme/clean\0_bant_20260421_195515.wav,bant,bant,same,691,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,69,homme,enregistrements_homme/clean\24_tat_20260421_195554.wav,enregistrements_homme/clean\25_tet_20260421_195555.wav,tat,tet,different,578,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,70,homme,enregistrements_homme/clean\25_tet_20260421_195555.wav,enregistrements_homme/clean\26_tot_20260421_195557.wav,tet,tot,different,902,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,71,femme,enregistrements_femme/clean_denoised\17_gont_20260422_181826.wav,enregistrements_femme/clean_denoised\17_gont_20260422_181826.wav,gont,gont,same,928,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,72,femme,enregistrements_femme/clean_denoised\4_punt_20260422_181742.wav,enregistrements_femme/clean_denoised\4_punt_20260422_181742.wav,punt,punt,same,584,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,73,femme,enregistrements_femme/clean_denoised\12_kant_20260422_181817.wav,enregistrements_femme/clean_denoised\13_kunt_20260422_181819.wav,kant,kunt,same,615,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,74,homme,enregistrements_homme/clean\17_gont_20260421_195543.wav,enregistrements_homme/clean\17_gont_20260421_195543.wav,gont,gont,same,1491,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,75,femme,enregistrements_femme/clean_denoised\31_ket_20260422_181848.wav,enregistrements_femme/clean_denoised\32_kot_20260422_181850.wav,ket,kot,different,448,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,76,homme,enregistrements_homme/clean\10_dunt_20260421_195531.wav,enregistrements_homme/clean\11_dont_20260421_195532.wav,dunt,dont,different,2760,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,77,homme,enregistrements_homme/clean\0_bant_20260421_195515.wav,enregistrements_homme/clean\1_bunt_20260421_195516.wav,bant,bunt,different,1083,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,78,homme,enregistrements_homme/clean\33_gat_20260421_195607.wav,enregistrements_homme/clean\34_get_20260421_195609.wav,gat,get,different,928,,,,,,,,
