modality,p_value_sum,rt_ms
device,0.0102112326003103,0.00519553425332366
gender,0.378387973668145,0.0731117225662327
frenchYears,0.0879406075917393,0.344818852040109
frenchListeningRate,0.031789975315101,0.179640550151077
frenchLevel,0.0133491563692977,0.451892532311146
reactionTime,0.00112613549684488,0.215637837240837
speakerSex,0.985911429624776,0.194296311613893
nasality,0.943039602505781,0.216632220060232
