participant_id,gender,4_language,french_level,french_years,french_listening_rating,device,mistake_score,mean_mistake,rt_ms
P_1777109938768,Male,English,0,0.0,1,Speakers,5,0.0347222222222222,901.0277777777778
P_1777131147772,Female,English,1,1.0,2,Speakers,3,0.0208333333333333,670.6666666666666
P_1777138267672,Male,Turkish,0,0.0,1,Speakers,7,0.0486111111111111,765.0972222222222
P_1777828509846,Female,Arabic,1,2.0,3,Speakers,10,0.0694444444444444,761.3541666666666
P_1777831674161,Female,Korean,0,0.0,1,Speakers,4,0.0277777777777777,1261.0833333333333
P_1777832887071,Non-binary,Dutch,2,3.0,3,Speakers,4,0.0277777777777777,990.9722222222222
P_1777837300713,Male,Pulaar,3,20.0,7,Speakers,5,0.0347222222222222,993.4652777777778
P_1777840317898,Female,Romanian,3,7.0,7,Speakers,5,0.0347222222222222,1056.6319444444443
