participant_id,gender,4_language,french_level,french_years,french_listening_rating,device,mistake_score,mean_mistake,rt_ms
P_1777112065838,Female,French,4,25.0,7,Speakers,1,0.0069444444444444,555.9722222222222
P_1777145041687,Female,French,4,,7,Headphones,6,0.0416666666666666,647.3402777777778
P_1777204271005,Female,French,4,,7,Speakers,2,0.0138888888888888,428.5833333333333
P_1777818239900,Female,French,4,23.0,7,Headphones,12,0.0833333333333333,917.6805555555555
P_1777831330429,Female,French,4,20.0,7,Headphones,8,0.0555555555555555,961.3611111111111
P_1777835056342,Female,French,4,22.0,7,Speakers,0,0.0,512.5347222222222
